Issue Id;Project;Tags;Summary;Reporter;Created;Updated;Resolved;Priority;Type;State;Assignee;Sprints;Story points;App;Module;Description;Votes
G9-338;Group 9;;Adding a product to the cart with a quantity of 0 in product card.;root;23 дек 2024;23 дек 2024;;High;Bug;New;Unassigned;Unscheduled;0;Web;Catalog;"**Environment:** Windows 11 Enterprise 23H2, Google Chrome 129.0.6668.101

### Preconditions

The user is authorized in the system. Reset all filters on the main page.

### Steps to reproduce

* *Step 1*
  Action: Go to <https://qa.demoshopping.ru/>
* *Step 2*
  Action: Choose any product and enter incorrect data in the spinner. **Spinner**=0.

### Actual result

No error message when adding a product to the cart with a quantity of 0.

### Expected result

Error message when adding a product to the cart with a quantity of 0.



Qase.io defect: [Adding a product to the cart with a quantity of 0 in product card.](https://app.qase.io/defect/G9/view/254)
Found in test run: [Express run 2024/12/16](https://app.qase.io/run/G9/dashboard/7)";0
G9-341;Group 9;;"The ""Войти"" button is not replaced with the ""Выйти"" button after successful registration.";Stan;23 дек 2024;23 дек 2024;;High;Bug;New;Unassigned;Unscheduled;0;Web;Registration;"**Environment:** Windows 11 Enterprise 23H2, Google Chrome 129.0.6668.101

### **Steps to reproduce**

* *Step 1*
  Action: Go to <https://qa.demoshopping.ru/login>
* *Step 2*
  Action: Input a valid username in the ""Логин"" field. **Input data:** 789
* *Step 3*
  Action: Input a valid password in the ""Пароль"" field. **Input data:** qwertyuiop1
* *Step 4*
  Action: Click the ""Зарегистрироваться"" button

### Actual result

The ""Войти"" button is not replaced with the ""Выйти"" button after successful registration.

**Expected result:**

The ""Войти"" button is replaced with the ""Выйти"" button after successful registration.";0
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
